Medio,Firma
Enfoque Noticias,Verónica Jiménez
Énfasis,Virginia López
ADN 40,Viridiana Hernández
TV Azteca,Viridiana Hernández
Milenio Hidalgo,Wendy Salazar
Milenio TV,Wendy Salazar
Telefórmula,Wendy Salazar
Excélsior,Ximena Mejía
Excélsior web,Ximena Mejía
La política me da risa,Yazmín Alessandrini
Info Libre,Yazmín Salazar
La Jornada Hidalgo,Yeralín Bonilla
La Jornada Hidalgo web,Yeralín Bonilla
Criterio,Yesenia Huerta
Criterio web,Yesenia Huerta
Effetá,Yo como que oí
Síntesis,Yolitzi Olguin
Síntesis web,Yolitzi Olguin
Foro TV,Yoselin Sánchez
Foro TV,Yoselin Sánchez
La Razón,Yulia Bonilla
ADN 40,Yunue Cuevas
Imagen radio,Yuriria Sieraa
Criterio,Yuvenil Torres
La Silla Rota Hidalgo,Zadquiel Torres
Milenio TV,Zelenny Ibarra
